method,mode,estimand,treatment,outcome,adjustment_set,coef,ci_low,ci_high,r2,model
BIC_EXACT_SEARCH,NAIVE,LOGIT,Balance,Exited,,2.637069299681697e-06,1.6292309664369522e-06,3.6449076329264416e-06,0.1531612740702717,LOGIT
BIC_EXACT_SEARCH,PREDICTED_DAG,LOGIT,Balance,Exited,Age|CreditScore,5.032802048115764e-06,4.183574940944708e-06,5.88202915528682e-06,0.08960813433798209,LOGIT
