method,mode,estimand,treatment,outcome,adjustment_set,coef,ci_low,ci_high,r2,model
RESIT,NAIVE,LOGIT,"EstimatedSalary,Balance",Exited,,4.806990772859207e-07,-4.476635470404929e-07,1.4090617016123342e-06,0.1531612740702717,LOGIT
RESIT,PREDICTED_DAG,LOGIT,"EstimatedSalary,Balance",Exited,Gender_Female|Geography_France,4.256966609953863e-07,-4.353160626488226e-07,1.286709384639595e-06,0.032252740054257156,LOGIT
