method,mode,estimand,treatment,outcome,adjustment_set,coef,ci_low,ci_high,r2,model
RESIT,NAIVE,OLS,NumOfProducts,Balance,,-31987.604696480135,-34079.82735252783,-29895.382040432443,0.2533112899457093,OLS
RESIT,PREDICTED_DAG,OLS,NumOfProducts,Balance,Gender_Female|Geography_France,-32584.184280273323,-34857.1320827113,-30311.236477835344,0.1459146888244729,OLS
