method,mode,estimand,treatment,outcome,adjustment_set,coef,ci_low,ci_high,r2,model
BIC_EXACT_SEARCH,NAIVE,LOGIT,Tenure,Exited,,-0.015949108229035794,-0.03428431159829218,0.0023860951402205864,0.1531612740702717,LOGIT
BIC_EXACT_SEARCH,PREDICTED_DAG,LOGIT,Tenure,Exited,Age|CreditScore,-0.010705640218825588,-0.028262728979425635,0.006851448541774458,0.07595946083918648,LOGIT
