method,mode,estimand,treatment,outcome,adjustment_set,coef,ci_low,ci_high,r2,model
PC,NAIVE,OLS,NumOfProducts,Balance,,-31987.604696480135,-34079.82735252783,-29895.382040432443,0.2533112899457093,OLS
PC,PREDICTED_DAG,OLS,NumOfProducts,Balance,,-32631.10836843682,-34975.49171896703,-30286.72501790661,0.0925253132290893,OLS
