method,mode,estimand,treatment,outcome,adjustment_set,coef,ci_low,ci_high,r2,model
RESIT,NAIVE,OLS_DUMMY,HasCrCard,CreditScore,,-1.1128253771060308,-5.26912013644121,3.0434693822291488,0.0016405885327491765,OLS_DUMMY
RESIT,PREDICTED_DAG,OLS_DUMMY,HasCrCard,CreditScore,Balance|Gender_Female|Geography_France,-1.1359397243845866,-5.291238741606501,3.0193592928373283,0.00013523211247667977,OLS_DUMMY
