method,mode,estimand,treatment,outcome,adjustment_set,coef,ci_low,ci_high,r2,model
BIC_EXACT_SEARCH,NAIVE,LOGIT_DUMMY,Geography_Spain,Exited,,-0.8504950688185539,-1247813.0664191416,1247811.365429004,0.1531612740702717,LOGIT_DUMMY
BIC_EXACT_SEARCH,PREDICTED_DAG,LOGIT_DUMMY,Geography_Spain,Exited,Age|Balance|CreditScore|EstimatedSalary|Geography_France|Geography_Germany|HasCrCard|IsActiveMember|NumOfProducts|Tenure,-1.0930997530386655,,,0.14377981109785765,LOGIT_DUMMY
