method,mode,estimand,treatment,outcome,adjustment_set,coef,ci_low,ci_high,r2,model
PC,NAIVE,OLS,Tenure,CreditScore,,0.04133089546758417,-0.6131399657901209,0.6958017567252892,0.0016405885327491765,OLS
PC,PREDICTED_DAG,OLS,Tenure,CreditScore,HasCrCard|IsActiveMember,0.05635543736887827,-0.5977594908334221,0.7104703655711786,0.0006873990332650903,OLS
